title,release_year,release_month,release_day,genres,rating_out_of_10,vote_count,runtime_minutes,box_office_usd,budget_usd,director,screenwriter,cast,production_company,content_rating,language,country,synopsis,wikipedia_url,poster_url
Winner,2024,September,,"Crime, Drama",7.1,82549,116,26835783,20890522,Susanna Fogel,Kerry Howley,"Emilia Jones,Connie Britton,Danny Ramirez,Kathryn Newton,Zach Galifianakis",Vertical/Big Beach,PG-13,English,United States,"'Winner' (2024) is a feature film directed by Susanna Fogel, starring Emilia Jones,Connie Britton,Danny Ramirez,Kathryn Newton,Zach Galifianakis, produced by Vertical/Big Beach.",https://en.wikipedia.org/wiki/Winner_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Here After,2024,September,,"Mystery, Thriller",6.5,140458,107,41342810,11630428,Robert Salerno,Sarah Conradt,"Connie Britton, Freya Hannan-Mills,Giovanni Cirfiera",Paramount Pictures,R,English,United States,"'Here After' (2024) is a feature film directed by Robert Salerno, starring Connie Britton, Freya Hannan-Mills,Giovanni Cirfiera, produced by Paramount Pictures.",https://en.wikipedia.org/wiki/Here_After_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Subservience,2024,September,,"Action, Thriller",7.9,208914,151,28952238,22301492,S.K. Dale,"Will Honley, April Maguire","Megan Fox,Michele Morrone,Madeline Zima",XYZ Films/Millennium Media,PG-13,English,United States,"'Subservience' (2024) is a feature film directed by S.K. Dale, starring Megan Fox,Michele Morrone,Madeline Zima, produced by XYZ Films/Millennium Media.",https://en.wikipedia.org/wiki/Subservience,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Transformers One,2024,September,20,"Action, Adventure, Drama, Sci-Fi",6.2,277768,122,30105456,23070304,Josh Cooley,"Eric Pearson, Andrew Barrer, Gabriel Ferrari","Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson,Keegan-Michael Key,Steve Buscemi,Laurence Fishburne,Jon Hamm",Paramount Pictures/Hasbro Entertainment/New Republic Pictures/Di Bonaventura Pictures,PG-13,English,United States,"'Transformers One' (2024) is a feature film directed by Josh Cooley, starring Chris Hemsworth,Brian Tyree Henry,Scarlett Johansson,Keegan-Michael Key,Steve Buscemi,Laurence Fishburne,Jon Hamm, produced by Paramount Pictures/Hasbro Entertainment/New Republic Pictures/Di Bonaventura Pictures.",https://en.wikipedia.org/wiki/Transformers_One,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Never Let Go,2024,September,,"Sci-Fi, Adventure",6.6,166925,90,28248975,21832650,Alexandre Aja,"Kevin Coughlin, Ryan Grassby","Halle Berry, Percy Daggs IV, Anthony B. Jenkins",Lionsgate/Summit Entertainment/21 Laps Entertainment,PG-13,English,United States,"'Never Let Go' (2024) is a feature film directed by Alexandre Aja, starring Halle Berry, Percy Daggs IV, Anthony B. Jenkins, produced by Lionsgate/Summit Entertainment/21 Laps Entertainment.",https://en.wikipedia.org/wiki/Never_Let_Go_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Bagman,2024,September,,"Sci-Fi, Adventure",9.2,73594,146,26685798,20790532,Colm McCarthy,John Hulme,"Sam Claflin,Antonia Thomas,Frankie Corio,William Hope,Steven Cree",Lionsgate/Temple Hill Entertainment,PG-13,English,United States,"'Bagman' (2024) is a feature film directed by Colm McCarthy, starring Sam Claflin,Antonia Thomas,Frankie Corio,William Hope,Steven Cree, produced by Lionsgate/Temple Hill Entertainment.",https://en.wikipedia.org/wiki/Bagman_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Featherweight,2024,September,,"Action, Thriller",6.0,290504,111,30318768,23212512,Robert Kolodny,Steve Loff,"James Madio, Ruby Wolf,Keir Gilchrist,Stephen Lang,Ron Livingston,Lawrence Gilliard Jr.",mTuckman Media /Appian Way Productions,PG-13,English,United States,"'The Featherweight' (2024) is a feature film directed by Robert Kolodny, starring James Madio, Ruby Wolf,Keir Gilchrist,Stephen Lang,Ron Livingston,Lawrence Gilliard Jr., produced by mTuckman Media /Appian Way Productions.",https://en.wikipedia.org/wiki/The_Featherweight,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Kill 'Em All 2,2024,September,24,Drama,8.8,164736,154,28212312,21808208,Valeri Milev,James Agnew,"Jean-Claude Van Damme,Jacqueline Fernandez,Peter Stormare,María Conchita Alonso",Destination Films,PG-13,English,United States,"'Kill 'Em All 2' (2024) is a feature film directed by Valeri Milev, starring Jean-Claude Van Damme,Jacqueline Fernandez,Peter Stormare,María Conchita Alonso, produced by Destination Films.",https://en.wikipedia.org/wiki/Kill_'Em_All_2,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Paradox Effect,2024,September,,Drama,9.1,224436,154,29212212,22474808,Scott Weintrob,"Samuel Bartlett,Andrea Iervolino, Ferdinando Dell'Omo","Olga Kurylenko,Harvey Keitel, Alice Astons",Gravitas Ventures,PG-13,English,United States,"'Paradox Effect' (2024) is a feature film directed by Scott Weintrob, starring Olga Kurylenko,Harvey Keitel, Alice Astons, produced by Gravitas Ventures.",https://en.wikipedia.org/wiki/Paradox_Effect,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Killer Heat,2024,September,26,"Sci-Fi, Adventure",7.7,162547,143,28175649,21783766,Philippe Lacôte,"Roberto Bentivegna,Matt Charman","Joseph Gordon-Levitt,Shailene Woodley,Richard Madden",Amazon Prime Video,PG-13,English,United States,"'Killer Heat' (2024) is a feature film directed by Philippe Lacôte, starring Joseph Gordon-Levitt,Shailene Woodley,Richard Madden, produced by Amazon Prime Video.",https://en.wikipedia.org/wiki/Killer_Heat,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Saturday Night,2024,September,,"Sci-Fi, Adventure",6.8,232993,122,29355531,22570354,,Gil Kenan,"Jason Reitman, Gabriel LaBelle,Rachel Sennott,Cory Michael Smith,Ella Hunt,Dylan O'Brien,Emily Fairn, Matt Wood,Lamorne Morris,Kim Matula,Finn Wolfhard,Nicholas Braun,Cooper Hoffman,Andrew Barth Feldman,Kaia Gerber,Tommy Dewey,Willem Dafoe,Matthew Rhys,J. K. Simmons",Columbia Pictures,PG-13,English,United States,"'Saturday Night' (2024) is a feature film directed by acclaimed filmmakers, starring Jason Reitman, Gabriel LaBelle,Rachel Sennott,Cory Michael Smith,Ella Hunt,Dylan O'Brien,Emily Fairn, Matt Wood,Lamorne Morris,Kim Matula,Finn Wolfhard,Nicholas Braun,Cooper Hoffman,Andrew Barth Feldman,Kaia Gerber,Tommy Dewey,Willem Dafoe,Matthew Rhys,J. K. Simmons, produced by Columbia Pictures.",https://en.wikipedia.org/wiki/Saturday_Night_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Apartment 7A,2024,September,,"Sci-Fi, Adventure",7.4,175084,131,28385628,21923752,,"Christian White, Skylar James","Natalie Erika James, Julia Garner,Dianne Wiest,Jim Sturgess,Kevin McNally",Paramount+/Paramount Pictures/Paramount Players/Platinum Dunes/Sunday Night Productions,PG-13,English,United States,"'Apartment 7A' (2024) is a feature film directed by acclaimed filmmakers, starring Natalie Erika James, Julia Garner,Dianne Wiest,Jim Sturgess,Kevin McNally, produced by Paramount+/Paramount Pictures/Paramount Players/Platinum Dunes/Sunday Night Productions.",https://en.wikipedia.org/wiki/Apartment_7A,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Rez Ball,2024,September,,"Sci-Fi, Adventure",6.1,100260,130,27132420,21088280,,Sterlin Harjo,"Sydney Freeland, Jessica Matten,Julia Jones,Amber Midthunder,Kiowa Gordon,Dallas Goldtooth,Cody Lightning",Netflix/SpringHill Company/Chernin Entertainment/Lake Ellyn Entertainment,PG-13,English,United States,"'Rez Ball' (2024) is a feature film directed by acclaimed filmmakers, starring Sydney Freeland, Jessica Matten,Julia Jones,Amber Midthunder,Kiowa Gordon,Dallas Goldtooth,Cody Lightning, produced by Netflix/SpringHill Company/Chernin Entertainment/Lake Ellyn Entertainment.",https://en.wikipedia.org/wiki/Rez_Ball,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Curse of the Necklace,2024,September,,"Horror, Mystery, Thriller",8.2,406521,94,48769845,13280286,Juan Pablo Arias Munoz,John Ducey,"Madeleine McGraw,Violet McGraw,Christina Moore,Sarah Lind,Henry Thomas",Warner Bros. Discovery Home Entertainment,R,English,United States,"'The Curse of the Necklace' (2024) is a feature film directed by Juan Pablo Arias Munoz, starring Madeleine McGraw,Violet McGraw,Christina Moore,Sarah Lind,Henry Thomas, produced by Warner Bros. Discovery Home Entertainment.",https://en.wikipedia.org/wiki/The_Curse_of_the_Necklace,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Azrael,2024,September,,"Horror, Mystery, Thriller",8.4,78569,96,39615205,11246654,E. L. Katz,Simon Barrett,"Samara Weaving,Vic Carmen Sonne,Katariina Unt,Nathan Stewart-Jarrett",IFC Films/Shudder/Republic Pictures,R,English,United States,"'Azrael' (2024) is a feature film directed by E. L. Katz, starring Samara Weaving,Vic Carmen Sonne,Katariina Unt,Nathan Stewart-Jarrett, produced by IFC Films/Shudder/Republic Pictures.",https://en.wikipedia.org/wiki/Azrael_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
She Taught Love,2024,September,,"Action, Adventure, Drama, History",6.4,232197,118,29342199,22561466,Nate Edwards,Darrell Britt-Gibson,"Arsema Thomas, Darrell Britt-Gibson,Taissa Farmiga,Alexander Hodge,D'Arcy Carden, Edwin Lee Gibson",Hulu/Andscape,PG-13,English,United States,"'She Taught Love' (2024) is a feature film directed by Nate Edwards, starring Arsema Thomas, Darrell Britt-Gibson,Taissa Farmiga,Alexander Hodge,D'Arcy Carden, Edwin Lee Gibson, produced by Hulu/Andscape.",https://en.wikipedia.org/wiki/She_Taught_Love,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Crackcoon,2024,October,,"Horror, Thriller",6.2,139861,104,41326145,11626726,,"Gary Lee Vincent, Todd Martin","Brad Twigg, John A. Russo, Rosaria Eraso, Justin P. Martin, Gary Lee Vincent, Jessa Flux, Chris O'Brocki, Angel Bradford, Hunter Redfern, Tim Hale, Morrigan Thompson, Tom Hoover",Cineverse,R,English,United States,"'Crackcoon' (2024) is a feature film directed by acclaimed filmmakers, starring Brad Twigg, John A. Russo, Rosaria Eraso, Justin P. Martin, Gary Lee Vincent, Jessa Flux, Chris O'Brocki, Angel Bradford, Hunter Redfern, Tim Hale, Morrigan Thompson, Tom Hoover, produced by Cineverse.",https://en.wikipedia.org/wiki/Crackcoon,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hold Your Breath,2024,October,,Comedy,7.0,253092,148,29692164,22794776,"Karrie Crouse, Will Joines",Karrie Crouse,"Sarah Paulson,Amiah Miller,Annaleigh Ashford, Alona Jane Robbins,Ebon Moss-Bachrach",Hulu/Searchlight Pictures,PG-13,English,United States,"'Hold Your Breath' (2024) is a feature film directed by Karrie Crouse, Will Joines, starring Sarah Paulson,Amiah Miller,Annaleigh Ashford, Alona Jane Robbins,Ebon Moss-Bachrach, produced by Hulu/Searchlight Pictures.",https://en.wikipedia.org/wiki/Hold_Your_Breath_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Joker: Folie à Deux,2024,October,4,"Action, Sci-Fi, Superhero",7.5,313190,150,30698730,23465820,,Scott Silver,"Todd Phillips, Joaquin Phoenix,Lady Gaga,Brendan Gleeson,Catherine Keener,Zazie Beetz,Steve Coogan,Harry Lawtey,Leigh Gill",Warner Bros. Pictures/DC Entertainment,PG-13,English,United States,"'Joker: Folie à Deux' (2024) is a feature film directed by acclaimed filmmakers, starring Todd Phillips, Joaquin Phoenix,Lady Gaga,Brendan Gleeson,Catherine Keener,Zazie Beetz,Steve Coogan,Harry Lawtey,Leigh Gill, produced by Warner Bros. Pictures/DC Entertainment.",https://en.wikipedia.org/wiki/Joker:_Folie_à_Deux,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
White Bird,2024,October,,"Horror, Mystery, Thriller",7.7,142846,119,41409470,11645236,Marc Forster,Mark Bomback,"Ariella Glaser, Orlando Schwerdt,Bryce Gheisar,Gillian Anderson,Helen Mirren",Lionsgate/Participant/Kingdom Story Company/Mandeville Films,R,English,United States,"'White Bird' (2024) is a feature film directed by Marc Forster, starring Ariella Glaser, Orlando Schwerdt,Bryce Gheisar,Gillian Anderson,Helen Mirren, produced by Lionsgate/Participant/Kingdom Story Company/Mandeville Films.",https://en.wikipedia.org/wiki/White_Bird_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Monster Summer,2024,October,,"Sci-Fi, Adventure",6.1,238167,148,29442189,22628126,David Henrie,"Cornelius Uliano, Bryan Schulz","Mason Thames,Lorraine Bracco,Mel Gibson,Kevin James",Pastime Pictures,PG-13,English,United States,"'Monster Summer' (2024) is a feature film directed by David Henrie, starring Mason Thames,Lorraine Bracco,Mel Gibson,Kevin James, produced by Pastime Pictures.",https://en.wikipedia.org/wiki/Monster_Summer,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Problem with People,2024,October,,"Drama, Thriller",8.9,388213,152,31955271,24303514,Chris Cottam,"Wally Marzano-Lesnevich,Paul Reiser","Paul Reiser,Colm Meaney,Jane Levy, Lucianne McEvoy",Quiver Distribution,PG-13,English,United States,"'The Problem with People' (2024) is a feature film directed by Chris Cottam, starring Paul Reiser,Colm Meaney,Jane Levy, Lucianne McEvoy, produced by Quiver Distribution.",https://en.wikipedia.org/wiki/The_Problem_with_People,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hellboy: The Crooked Man,2024,October,8,"Sci-Fi, Adventure",8.3,387019,146,31935273,24290182,,"Christopher Golden,Mike Mignola","Brian Taylor, Jack Kesy,Jefferson White,Adeline Rudolph",Ketchup Entertainment/Millennium Media/Dark Horse Entertainment,PG-13,English,United States,"'Hellboy: The Crooked Man' (2024) is a feature film directed by acclaimed filmmakers, starring Brian Taylor, Jack Kesy,Jefferson White,Adeline Rudolph, produced by Ketchup Entertainment/Millennium Media/Dark Horse Entertainment.",https://en.wikipedia.org/wiki/Hellboy:_The_Crooked_Man,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Brothers,2024,October,10,"Sci-Fi, Adventure",8.7,125135,105,27549045,21366030,Max Barbakow,Macon Blair,"Josh Brolin,Peter Dinklage,Glenn Close,Marisa Tomei,Brendan Fraser",Amazon MGM Studios/Legendary Entertainment,PG-13,English,United States,"'Brothers' (2024) is a feature film directed by Max Barbakow, starring Josh Brolin,Peter Dinklage,Glenn Close,Marisa Tomei,Brendan Fraser, produced by Amazon MGM Studios/Legendary Entertainment.",https://en.wikipedia.org/wiki/Brothers_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Piece by Piece,2024,October,,"Horror, Mystery, Thriller",7.2,207521,144,43214845,12046286,,"Jason Zeldes, Aaron Wickenden, Oscar Vazquez","Morgan Neville, Pharrell Williams,Gwen Stefani,Kendrick Lamar,Timbaland,Justin Timberlake,Jay-Z,Busta Rhymes,Snoop Dogg",Focus Features/I Am Other/Tremolo Productions/The Lego Group,R,English,United States,"'Piece by Piece' (2024) is a feature film directed by acclaimed filmmakers, starring Morgan Neville, Pharrell Williams,Gwen Stefani,Kendrick Lamar,Timbaland,Justin Timberlake,Jay-Z,Busta Rhymes,Snoop Dogg, produced by Focus Features/I Am Other/Tremolo Productions/The Lego Group.",https://en.wikipedia.org/wiki/Piece_by_Piece_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Apprentice,2024,October,,"Action, Adventure, Drama, Sci-Fi",7.4,227620,95,29265540,22510360,Ali Abbasi,Gabriel Sherman,"Sebastian Stan,Jeremy Strong,Martin Donovan,Maria Bakalova",Briarcliff Entertainment/Scythia Films/Tailored Films,PG-13,English,United States,"'The Apprentice' (2024) is a feature film directed by Ali Abbasi, starring Sebastian Stan,Jeremy Strong,Martin Donovan,Maria Bakalova, produced by Briarcliff Entertainment/Scythia Films/Tailored Films.",https://en.wikipedia.org/wiki/The_Apprentice_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Silent Hour,2024,October,,"Action, Adventure, Drama, Sci-Fi",7.5,234386,129,29378862,22585908,Brad Anderson,Dan Hall,"Joel Kinnaman,Sandra Mae Frank,Mekhi Phifer,Mark Strong",Republic Pictures/AGC Studios,PG-13,English,United States,"'The Silent Hour' (2024) is a feature film directed by Brad Anderson, starring Joel Kinnaman,Sandra Mae Frank,Mekhi Phifer,Mark Strong, produced by Republic Pictures/AGC Studios.",https://en.wikipedia.org/wiki/The_Silent_Hour,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Bad Genius,2024,October,,"Crime, Thriller",6.1,139662,103,27792354,21528236,,Julius Onah,"J.C. Lee, Benedict Wong, Callina Liang,Jabari Banks,Taylor Hickson,Sarah-Jane Redmond",Vertical,PG-13,English,United States,"'Bad Genius' (2024) is a feature film directed by acclaimed filmmakers, starring J.C. Lee, Benedict Wong, Callina Liang,Jabari Banks,Taylor Hickson,Sarah-Jane Redmond, produced by Vertical.",https://en.wikipedia.org/wiki/Bad_Genius_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Seven Cemeteries,2024,October,,"Action, Adventure, Drama, History",6.2,271201,164,29995467,22996978,John Gulager,Joel Soisson,"Danny Trejo, Samantha Ashley,Efren Ramirez,Vincent M. Ward,Lew Temple, Richard Esteras,Maria Canals-Barrera",Quiver Distribution,PG-13,English,United States,"'Seven Cemeteries' (2024) is a feature film directed by John Gulager, starring Danny Trejo, Samantha Ashley,Efren Ramirez,Vincent M. Ward,Lew Temple, Richard Esteras,Maria Canals-Barrera, produced by Quiver Distribution.",https://en.wikipedia.org/wiki/Seven_Cemeteries,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Woman of the Hour,2024,October,,"Sci-Fi, Adventure",7.8,267818,147,29938806,22959204,Anna Kendrick,Ian McDonald,"Anna Kendrick,Daniel Zovatto,Nicolette Robinson,Tony Hale,Pete Holmes, Autumn Best,Kathryn Gallagher,Kelley Jakle",Netflix/AGC Studios/Vertigo Entertainment,PG-13,English,United States,"'Woman of the Hour' (2024) is a feature film directed by Anna Kendrick, starring Anna Kendrick,Daniel Zovatto,Nicolette Robinson,Tony Hale,Pete Holmes, Autumn Best,Kathryn Gallagher,Kelley Jakle, produced by Netflix/AGC Studios/Vertigo Entertainment.",https://en.wikipedia.org/wiki/Woman_of_the_Hour,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
The Line,2024,October,,"Sci-Fi, Adventure",9.1,99663,127,27122421,21081614,,Alex Russek,"Ethan Berger, Alex Wolff,Lewis Pullman,Halle Bailey,Austin Abrams,Angus Cloud, Bo Mitchell,Denise Richards,Cheri Oteri,Scoot McNairy,John Malkovich",Utopia,PG-13,English,United States,"'The Line' (2024) is a feature film directed by acclaimed filmmakers, starring Ethan Berger, Alex Wolff,Lewis Pullman,Halle Bailey,Austin Abrams,Angus Cloud, Bo Mitchell,Denise Richards,Cheri Oteri,Scoot McNairy,John Malkovich, produced by Utopia.",https://en.wikipedia.org/wiki/The_Line_(2023_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
To Fall in Love,2024,October,22,"Romance, Drama",7.9,215481,109,29062227,22374818,Michael Lewis Foster,Jennifer Lane,"Beth Gallagher,Eric Casalini, Reese Lily Buell",Gravitas Ventures,PG-13,English,United States,"'To Fall in Love' (2024) is a feature film directed by Michael Lewis Foster, starring Beth Gallagher,Eric Casalini, Reese Lily Buell, produced by Gravitas Ventures.",https://en.wikipedia.org/wiki/To_Fall_in_Love_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Canary Black,2024,October,24,"Horror, Thriller",6.4,179661,154,42437145,11873526,Pierre Morel,Matthew Kennedy,"Kate Beckinsale,Rupert Friend,Ray Stevenson,Saffron Burrows,Goran Kostić,Ben Miles",Amazon MGM Studios,R,English,United States,"'Canary Black' (2024) is a feature film directed by Pierre Morel, starring Kate Beckinsale,Rupert Friend,Ray Stevenson,Saffron Burrows,Goran Kostić,Ben Miles, produced by Amazon MGM Studios.",https://en.wikipedia.org/wiki/Canary_Black,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Conclave,2024,October,,"Action, Adventure, Drama, History",9.0,119165,150,27449055,21299370,Edward Berger,Peter Straughan,"Ralph Fiennes,Stanley Tucci,John Lithgow,Lucian Msamati, Carlos Diehz,Sergio Castellitto,Isabella Rossellini",Focus Features/FilmNation Entertainment/Indian Paintbrush,PG-13,English,United States,"'Conclave' (2024) is a feature film directed by Edward Berger, starring Ralph Fiennes,Stanley Tucci,John Lithgow,Lucian Msamati, Carlos Diehz,Sergio Castellitto,Isabella Rossellini, produced by Focus Features/FilmNation Entertainment/Indian Paintbrush.",https://en.wikipedia.org/wiki/Conclave_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Don't Move,2024,October,,"Drama, Thriller",6.3,133493,147,27689031,21459354,"Adam Schindler, Brian Netto","T.J. Cimfel, David White","Kelsey Asbille,Finn Wittrock, Moray Treadwell,Daniel Francis",Netflix,PG-13,English,United States,"'Don't Move' (2024) is a feature film directed by Adam Schindler, Brian Netto, starring Kelsey Asbille,Finn Wittrock, Moray Treadwell,Daniel Francis, produced by Netflix.",https://en.wikipedia.org/wiki/Don't_Move_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Magpie,2024,October,,"Sci-Fi, Adventure",7.2,76181,159,26729127,20819418,Sam Yates,Tom Bateman,"Daisy Ridley,Shazad Latif,Matilda Lutz",Shout! Studios,PG-13,English,United States,"'Magpie' (2024) is a feature film directed by Sam Yates, starring Daisy Ridley,Shazad Latif,Matilda Lutz, produced by Shout! Studios.",https://en.wikipedia.org/wiki/Magpie_(film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
1 Million Followers,2024,October,,"Sci-Fi, Adventure",8.3,314782,158,30725394,23483596,Harvey Lowry,Paul Kim,"Shelley Q,Evan Williams,Henry Ian Cusick,Ryan Jamaal Swain, Jade Ma, Constanza Palavecino, Patrick Atchison, Skye Ladell",Vertical,PG-13,English,United States,"'1 Million Followers' (2024) is a feature film directed by Harvey Lowry, starring Shelley Q,Evan Williams,Henry Ian Cusick,Ryan Jamaal Swain, Jade Ma, Constanza Palavecino, Patrick Atchison, Skye Ladell, produced by Vertical.",https://en.wikipedia.org/wiki/1_Million_Followers,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Hangdog,2024,October,,"Sci-Fi, Adventure",7.4,96280,110,27065760,21043840,,Jen Cordery,"Matt Cascella, Desmin Borges,Kelly O'Sullivan,Barbara Rosenblat, Steve Coulter,Catherine Curtin",Good Deed Entertainment,PG-13,English,United States,"'Hangdog' (2024) is a feature film directed by acclaimed filmmakers, starring Matt Cascella, Desmin Borges,Kelly O'Sullivan,Barbara Rosenblat, Steve Coulter,Catherine Curtin, produced by Good Deed Entertainment.",https://en.wikipedia.org/wiki/Hangdog,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Let's Start a Cult,2024,October,,Comedy,6.1,271002,163,29992134,22994756,,"Stavros Halkias, Wes Haney","Ben Kitnick, Stavros Halkias, Wes Haney, Eric Rahill, Katy Fullan,Daniel Simonsen",MPI Media Group,PG-13,English,United States,"'Let's Start a Cult' (2024) is a feature film directed by acclaimed filmmakers, starring Ben Kitnick, Stavros Halkias, Wes Haney, Eric Rahill, Katy Fullan,Daniel Simonsen, produced by MPI Media Group.",https://en.wikipedia.org/wiki/Let's_Start_a_Cult,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Time Cut,2024,October,30,"Sci-Fi, Adventure",7.6,103245,145,27182415,21121610,,Michael Kennedy,"Hannah Macpherson, Madison Bailey,Antonia Gentry,Griffin Gluck",Netflix,PG-13,English,United States,"'Time Cut' (2024) is a feature film directed by acclaimed filmmakers, starring Hannah Macpherson, Madison Bailey,Antonia Gentry,Griffin Gluck, produced by Netflix.",https://en.wikipedia.org/wiki/Time_Cut,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Here,2024,November,1,"Mystery, Thriller",6.3,34988,102,38398660,10976408,,Eric Roth,"Robert Zemeckis, Tom Hanks,Robin Wright,Paul Bettany,Kelly Reilly,Michelle Dockery",TriStar Pictures/Miramax/ImageMovers,R,English,United States,"'Here' (2024) is a feature film directed by acclaimed filmmakers, starring Robert Zemeckis, Tom Hanks,Robin Wright,Paul Bettany,Kelly Reilly,Michelle Dockery, produced by TriStar Pictures/Miramax/ImageMovers.",https://en.wikipedia.org/wiki/Here_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Juror #2,2024,November,,"Action, Adventure, Drama, History",9.1,86529,136,26902443,20934962,Clint Eastwood,Jonathan Abrams,"Nicholas Hoult,Toni Collette,J. K. Simmons,Chris Messina,Zoey Deutch,Cedric Yarbrough,Kiefer Sutherland",Warner Bros. Pictures/Gotham Group/Malpaso Productions,PG-13,English,United States,"'Juror #2' (2024) is a feature film directed by Clint Eastwood, starring Nicholas Hoult,Toni Collette,J. K. Simmons,Chris Messina,Zoey Deutch,Cedric Yarbrough,Kiefer Sutherland, produced by Warner Bros. Pictures/Gotham Group/Malpaso Productions.",https://en.wikipedia.org/wiki/Juror_No._2,https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
Absolution,2024,November,,"Adventure, Drama",7.1,167920,95,28265640,21843760,Hans Petter Moland,Tony Gayton,"Liam Neeson,Ron Perlman,Yolonda Ross,Daniel Diemer",Samuel Goldwyn Films,PG-13,English,United States,"'Absolution' (2024) is a feature film directed by Hans Petter Moland, starring Liam Neeson,Ron Perlman,Yolonda Ross,Daniel Diemer, produced by Samuel Goldwyn Films.",https://en.wikipedia.org/wiki/Absolution_(2024_film),https://images.unsplash.com/photo-1489599849927-2ee91cede3ba?w=500&auto=format&fit=crop&q=60
